Time,Games,Wins,Draws,Losses
2020-11-22T17:09:09.593920,1000,635,99,266
2020-11-22T17:09:14.355668,2000,1283,200,517
2020-11-22T17:09:19.569114,3000,1952,315,733
2020-11-22T17:09:25.013856,4000,2608,416,976
2020-11-22T17:09:29.574037,5000,3270,511,1219
2020-11-22T17:09:34.082044,6000,3957,627,1416
2020-11-22T17:09:38.688231,7000,4627,740,1633
2020-11-22T17:09:42.963634,8000,5278,856,1866
2020-11-22T17:09:47.153121,9000,5949,939,2112
2020-11-22T17:09:51.451199,10000,6614,1056,2330
2020-11-22T17:09:55.721660,11000,7312,1136,2552
2020-11-22T17:09:59.999585,12000,8019,1234,2747
2020-11-22T17:10:04.218912,13000,8745,1320,2935
2020-11-22T17:10:08.598907,14000,9448,1428,3124
2020-11-22T17:10:12.880387,15000,10183,1502,3315
2020-11-22T17:10:17.088099,16000,10918,1591,3491
2020-11-22T17:10:21.483121,17000,11689,1662,3649
2020-11-22T17:10:25.920945,18000,12424,1745,3831
2020-11-22T17:10:30.301988,19000,13168,1846,3986
2020-11-22T17:10:34.736714,20000,13899,1934,4167
2020-11-22T17:10:39.030074,21000,14654,2024,4322
2020-11-22T17:10:43.316216,22000,15426,2116,4458
2020-11-22T17:10:47.568739,23000,16209,2194,4597
2020-11-22T17:10:51.803899,24000,16990,2274,4736
2020-11-22T17:10:56.033030,25000,17743,2373,4884
2020-11-22T17:11:00.235760,26000,18522,2456,5022
2020-11-22T17:11:04.441192,27000,19326,2518,5156
2020-11-22T17:11:08.588284,28000,20114,2581,5305
2020-11-22T17:11:12.768341,29000,20918,2643,5439
2020-11-22T17:11:17.069871,30000,21740,2691,5569
2020-11-22T17:11:21.168330,31000,22542,2753,5705
2020-11-22T17:11:25.290880,32000,23383,2808,5809
2020-11-22T17:11:29.394735,33000,24228,2858,5914
2020-11-22T17:11:33.727787,34000,25019,2931,6050
2020-11-22T17:11:38.008024,35000,25854,2990,6156
2020-11-22T17:11:42.099670,36000,26713,3040,6247
2020-11-22T17:11:46.291200,37000,27534,3090,6376
2020-11-22T17:11:50.491402,38000,28390,3131,6479
2020-11-22T17:11:54.547965,39000,29249,3178,6573
2020-11-22T17:11:58.689485,40000,30085,3244,6671
2020-11-22T17:12:02.796068,41000,30973,3285,6742
2020-11-22T17:12:06.910620,42000,31832,3326,6842
2020-11-22T17:12:11.034424,43000,32701,3373,6926
2020-11-22T17:12:15.069179,44000,33574,3418,7008
2020-11-22T17:12:19.147722,45000,34439,3456,7105
2020-11-22T17:12:23.348813,46000,35332,3491,7177
2020-11-22T17:12:27.399544,47000,36227,3534,7239
2020-11-22T17:12:31.489169,48000,37114,3578,7308
2020-11-22T17:12:35.731595,49000,38004,3615,7381
2020-11-22T17:12:39.912126,50000,38906,3645,7449
2020-11-22T17:12:43.950378,51000,39822,3673,7505
2020-11-22T17:12:47.989711,52000,40716,3706,7578
2020-11-22T17:12:52.398629,53000,41637,3723,7640
2020-11-22T17:12:56.517945,54000,42569,3746,7685
2020-11-22T17:13:00.588469,55000,43490,3770,7740
2020-11-22T17:13:04.579825,56000,44404,3804,7792
2020-11-22T17:13:08.519693,57000,45314,3832,7854
2020-11-22T17:13:12.481310,58000,46228,3860,7912
2020-11-22T17:13:16.424638,59000,47155,3877,7968
2020-11-22T17:13:20.447896,60000,48099,3900,8001
2020-11-22T17:13:24.426169,61000,49028,3929,8043
2020-11-22T17:13:28.449960,62000,49972,3948,8080
2020-11-22T17:13:32.407084,63000,50935,3962,8103
2020-11-22T17:13:36.397491,64000,51885,3978,8137
2020-11-22T17:13:40.424394,65000,52821,3996,8183
2020-11-22T17:13:44.762909,66000,53762,4018,8220
2020-11-22T17:13:48.866913,67000,54721,4033,8246
2020-11-22T17:13:52.856401,68000,55683,4046,8271
2020-11-22T17:13:57.103792,69000,56637,4060,8303
2020-11-22T17:14:01.081655,70000,57584,4071,8345
2020-11-22T17:14:04.915248,71000,58546,4080,8374
2020-11-22T17:14:08.765791,72000,59511,4085,8404
2020-11-22T17:14:12.808183,73000,60494,4093,8413
2020-11-22T17:14:17.002934,74000,61476,4095,8429
2020-11-22T17:14:21.510891,75000,62460,4099,8441
2020-11-22T17:14:25.954843,76000,63439,4102,8459
2020-11-22T17:14:29.926094,77000,64425,4106,8469
2020-11-22T17:14:34.333662,78000,65407,4115,8478
2020-11-22T17:14:38.627885,79000,66388,4118,8494
2020-11-22T17:14:43.234633,80000,67374,4125,8501
2020-11-22T17:14:47.493553,81000,68349,4136,8515
2020-11-22T17:14:51.413604,82000,69335,4142,8523
2020-11-22T17:14:55.331456,83000,70317,4144,8539
2020-11-22T17:14:59.148982,84000,71300,4147,8553
2020-11-22T17:15:03.047113,85000,72269,4154,8577
2020-11-22T17:15:06.858591,86000,73248,4161,8591
2020-11-22T17:15:10.690144,87000,74232,4169,8599
2020-11-22T17:15:14.469102,88000,75215,4176,8609
2020-11-22T17:15:18.275101,89000,76205,4180,8615
2020-11-22T17:15:22.193388,90000,77188,4185,8627
2020-11-22T17:15:26.221848,91000,78170,4188,8642
2020-11-22T17:15:30.186988,92000,79157,4190,8653
2020-11-22T17:15:34.098597,93000,80137,4197,8666
2020-11-22T17:15:38.305718,94000,81118,4207,8675
2020-11-22T17:15:42.265482,95000,82100,4213,8687
2020-11-22T17:15:46.259671,96000,83079,4218,8703
2020-11-22T17:15:50.492953,97000,84063,4222,8715
