Time,Games,Wins,Draws,Losses
2020-11-22T17:16:10.242194,1000,87315,4414,9271
2020-11-22T17:16:14.077961,2000,87653,4566,9781
2020-11-22T17:16:17.866464,3000,88049,4686,10265
2020-11-22T17:16:21.650885,4000,88411,4811,10778
2020-11-22T17:16:25.397613,5000,88805,4920,11275
2020-11-22T17:16:29.290945,6000,89251,5027,11722
2020-11-22T17:16:33.255675,7000,89681,5122,12197
2020-11-22T17:16:37.327909,8000,90138,5219,12643
2020-11-22T17:16:41.250129,9000,90555,5343,13102
2020-11-22T17:16:45.135926,10000,90985,5433,13582
2020-11-22T17:16:49.003585,11000,91439,5532,14029
2020-11-22T17:16:53.005961,12000,91922,5625,14453
2020-11-22T17:16:56.973614,13000,92391,5711,14898
2020-11-22T17:17:01.281611,14000,92832,5819,15349
2020-11-22T17:17:05.849354,15000,93303,5918,15779
2020-11-22T17:17:10.034302,16000,93804,5996,16200
2020-11-22T17:17:14.129374,17000,94277,6099,16624
2020-11-22T17:17:18.159362,18000,94793,6181,17026
2020-11-22T17:17:22.032523,19000,95300,6275,17425
2020-11-22T17:17:26.034425,20000,95773,6372,17855
2020-11-22T17:17:29.975035,21000,96322,6444,18234
2020-11-22T17:17:34.079977,22000,96879,6511,18610
2020-11-22T17:17:38.206836,23000,97429,6592,18979
2020-11-22T17:17:42.459549,24000,97995,6672,19333
2020-11-22T17:17:47.193680,25000,98554,6752,19694
2020-11-22T17:17:51.775057,26000,99121,6844,20035
2020-11-22T17:17:56.727255,27000,99685,6910,20405
2020-11-22T17:18:01.632632,28000,100262,7000,20738
2020-11-22T17:18:06.036024,29000,100864,7078,21058
2020-11-22T17:18:10.585256,30000,101422,7152,21426
2020-11-22T17:18:14.651862,31000,102034,7228,21738
2020-11-22T17:18:18.653310,32000,102648,7297,22055
2020-11-22T17:18:22.713303,33000,103252,7360,22388
2020-11-22T17:18:26.728596,34000,103861,7420,22719
2020-11-22T17:18:30.694318,35000,104479,7498,23023
2020-11-22T17:18:34.643521,36000,105139,7559,23302
2020-11-22T17:18:38.553985,37000,105747,7618,23635
2020-11-22T17:18:42.730502,38000,106377,7695,23928
2020-11-22T17:18:46.720980,39000,107011,7772,24217
2020-11-22T17:18:50.690939,40000,107669,7843,24488
2020-11-22T17:18:54.667495,41000,108353,7912,24735
2020-11-22T17:18:58.830523,42000,109031,7967,25002
2020-11-22T17:19:03.068873,43000,109680,8015,25305
2020-11-22T17:19:07.226798,44000,110363,8085,25552
2020-11-22T17:19:11.189420,45000,111059,8154,25787
2020-11-22T17:19:15.140389,46000,111792,8194,26014
2020-11-22T17:19:19.365731,47000,112542,8240,26218
2020-11-22T17:19:23.651038,48000,113274,8276,26450
2020-11-22T17:19:27.597334,49000,114008,8315,26677
2020-11-22T17:19:31.614402,50000,114739,8376,26885
2020-11-22T17:19:35.604438,51000,115520,8422,27058
2020-11-22T17:19:39.541544,52000,116283,8459,27258
2020-11-22T17:19:43.482815,53000,117025,8499,27476
2020-11-22T17:19:47.413789,54000,117795,8549,27656
2020-11-22T17:19:51.369092,55000,118572,8609,27819
2020-11-22T17:19:55.323472,56000,119325,8650,28025
2020-11-22T17:19:59.655987,57000,120101,8702,28197
2020-11-22T17:20:03.612373,58000,120893,8750,28357
2020-11-22T17:20:07.563323,59000,121679,8799,28522
2020-11-22T17:20:11.655649,60000,122464,8850,28686
2020-11-22T17:20:15.869125,61000,123282,8882,28836
2020-11-22T17:20:19.833218,62000,124079,8924,28997
2020-11-22T17:20:23.875594,63000,124900,8958,29142
2020-11-22T17:20:28.158112,64000,125706,9007,29287
2020-11-22T17:20:32.219744,65000,126524,9051,29425
2020-11-22T17:20:36.258667,66000,127365,9073,29562
2020-11-22T17:20:40.411044,67000,128227,9091,29682
2020-11-22T17:20:44.680294,68000,129068,9113,29819
2020-11-22T17:20:48.894015,69000,129872,9151,29977
2020-11-22T17:20:53.555545,70000,130711,9201,30088
2020-11-22T17:20:57.795605,71000,131587,9234,30179
2020-11-22T17:21:01.944618,72000,132439,9269,30292
2020-11-22T17:21:05.950177,73000,133325,9296,30379
2020-11-22T17:21:10.052834,74000,134189,9336,30475
2020-11-22T17:21:14.047001,75000,135080,9363,30557
2020-11-22T17:21:17.975259,76000,135941,9390,30669
2020-11-22T17:21:22.260715,77000,136814,9428,30758
2020-11-22T17:21:26.342309,78000,137699,9467,30834
2020-11-22T17:21:30.314077,79000,138599,9506,30895
2020-11-22T17:21:34.627160,80000,139473,9555,30972
2020-11-22T17:21:38.943191,81000,140355,9603,31042
2020-11-22T17:21:43.010332,82000,141255,9639,31106
2020-11-22T17:21:47.258844,83000,142148,9680,31172
2020-11-22T17:21:51.858508,84000,143054,9716,31230
2020-11-22T17:21:57.968705,85000,143929,9752,31319
2020-11-22T17:22:02.892382,86000,144823,9785,31392
2020-11-22T17:22:08.253421,87000,145723,9835,31442
2020-11-22T17:22:13.112071,88000,146620,9880,31500
2020-11-22T17:22:18.109247,89000,147525,9931,31544
2020-11-22T17:22:22.800704,90000,148430,9977,31593
2020-11-22T17:22:27.422543,91000,149323,10026,31651
2020-11-22T17:22:34.032918,92000,150225,10086,31689
2020-11-22T17:22:39.363319,93000,151107,10149,31744
2020-11-22T17:22:44.254722,94000,152005,10211,31784
2020-11-22T17:22:49.035813,95000,152908,10263,31829
2020-11-22T17:22:54.646225,96000,153791,10317,31892
2020-11-22T17:22:59.926309,97000,154667,10377,31956
2020-11-22T17:23:04.725211,98000,155550,10432,32018
2020-11-22T17:23:09.762965,99000,156454,10488,32058
2020-11-22T17:23:15.533713,100000,157345,10556,32099
