Time,Games,Wins,Draws,Losses
2020-11-22T18:52:23.406066,1000,656,112,232
2020-11-22T18:52:27.702520,2000,1300,224,476
2020-11-22T18:52:32.123010,3000,1956,339,705
2020-11-22T18:52:36.486175,4000,2628,449,923
2020-11-22T18:52:40.821443,5000,3307,541,1152
2020-11-22T18:52:45.211308,6000,3968,652,1380
2020-11-22T18:52:49.612672,7000,4650,746,1604
2020-11-22T18:52:54.046739,8000,5342,850,1808
2020-11-22T18:52:58.521758,9000,6069,931,2000
2020-11-22T18:53:02.991866,10000,6776,1042,2182
2020-11-22T18:53:07.398313,11000,7505,1130,2365
2020-11-22T18:53:11.889958,12000,8236,1221,2543
2020-11-22T18:53:16.423277,13000,8956,1303,2741
2020-11-22T18:53:20.719753,14000,9663,1393,2944
2020-11-22T18:53:25.084454,15000,10383,1484,3133
2020-11-22T18:53:29.591075,16000,11097,1584,3319
2020-11-22T18:53:33.876381,17000,11841,1677,3482
2020-11-22T18:53:38.132738,18000,12595,1759,3646
2020-11-22T18:53:42.425686,19000,13339,1844,3817
2020-11-22T18:53:46.685868,20000,14083,1930,3987
2020-11-22T18:53:51.067693,21000,14833,2022,4145
2020-11-22T18:53:55.317663,22000,15601,2099,4300
2020-11-22T18:53:59.506003,23000,16390,2181,4429
2020-11-22T18:54:03.741663,24000,17152,2247,4601
2020-11-22T18:54:07.922398,25000,17930,2329,4741
2020-11-22T18:54:12.192539,26000,18714,2396,4890
2020-11-22T18:54:16.382508,27000,19531,2466,5003
2020-11-22T18:54:20.741146,28000,20327,2537,5136
2020-11-22T18:54:24.958231,29000,21143,2608,5249
2020-11-22T18:54:29.179214,30000,21946,2660,5394
2020-11-22T18:54:33.336793,31000,22783,2710,5507
2020-11-22T18:54:37.486987,32000,23622,2768,5610
2020-11-22T18:54:41.659685,33000,24452,2823,5725
2020-11-22T18:54:45.848771,34000,25263,2888,5849
2020-11-22T18:54:50.134493,35000,26099,2948,5953
2020-11-22T18:54:54.304792,36000,26954,3005,6041
2020-11-22T18:54:58.729008,37000,27797,3063,6140
2020-11-22T18:55:02.942619,38000,28638,3124,6238
2020-11-22T18:55:07.189387,39000,29474,3192,6334
2020-11-22T18:55:11.560891,40000,30318,3247,6435
2020-11-22T18:55:15.689123,41000,31184,3309,6507
2020-11-22T18:55:19.980711,42000,32061,3355,6584
2020-11-22T18:55:24.145530,43000,32931,3408,6661
2020-11-22T18:55:28.497630,44000,33780,3484,6736
2020-11-22T18:55:32.777011,45000,34650,3548,6802
2020-11-22T18:55:37.004905,46000,35528,3600,6872
2020-11-22T18:55:41.071637,47000,36419,3644,6937
2020-11-22T18:55:45.460601,48000,37312,3701,6987
2020-11-22T18:55:49.635780,49000,38211,3754,7035
2020-11-22T18:55:53.877906,50000,39117,3793,7090
2020-11-22T18:55:57.980341,51000,40029,3835,7136
2020-11-22T18:56:02.091715,52000,40931,3875,7194
2020-11-22T18:56:06.320358,53000,41829,3923,7248
2020-11-22T18:56:10.452165,54000,42718,3981,7301
2020-11-22T18:56:14.570951,55000,43616,4031,7353
2020-11-22T18:56:18.655253,56000,44552,4066,7382
2020-11-22T18:56:22.883033,57000,45481,4109,7410
